level_0,index,borough,major_cat,minor_cat,n
0,0,Barking and Dagenham,Burglary,Burglary - Business and Community,30
1,1,Barking and Dagenham,Burglary,Burglary - Residential,92
2,2,Barking and Dagenham,Criminal Damage,Arson,6
3,3,Barking and Dagenham,Criminal Damage,Criminal Damage To M/V,69
4,4,Barking and Dagenham,Criminal Damage,Criminal Damage To Other Bldg,7
5,5,Barking and Dagenham,Criminal Damage,Criminal Damage To a Dwelling,21
6,6,Barking and Dagenham,Criminal Damage,Other Criminal Damage,40
7,7,Barking and Dagenham,Drugs,Drug Trafficking,5
8,8,Barking and Dagenham,Drugs,Other Drug Offences,0
9,9,Barking and Dagenham,Drugs,Possession Of Drugs,71
10,10,Barking and Dagenham,Fraud or Forgery,Other Fraud & Forgery,1
11,11,Barking and Dagenham,Other Notifiable Offences,Going Equipped,1
12,12,Barking and Dagenham,Other Notifiable Offences,Other Notifiable,42
13,13,Barking and Dagenham,Robbery,Business Property,3
14,14,Barking and Dagenham,Robbery,Personal Property,79
15,15,Barking and Dagenham,Sexual Offences,Other Sexual,27
16,16,Barking and Dagenham,Sexual Offences,Rape,16
17,17,Barking and Dagenham,Theft and Handling,Handling Stolen Goods,1
18,18,Barking and Dagenham,Theft and Handling,M/V Interference & Tampering,10
19,19,Barking and Dagenham,Theft and Handling,Other Theft,175
20,20,Barking and Dagenham,Theft and Handling,Theft From M/V,63
21,21,Barking and Dagenham,Theft and Handling,Theft From Shops,64
22,22,Barking and Dagenham,Theft and Handling,Theft Person,52
23,23,Barking and Dagenham,Theft and Handling,Theft/Taking of M/V,87
24,24,Barking and Dagenham,Theft and Handling,Theft/Taking of Pedal Cycles,24
25,25,Barking and Dagenham,Violence Against the Person,Assault with Injury,141
26,26,Barking and Dagenham,Violence Against the Person,Common Assault,156
27,27,Barking and Dagenham,Violence Against the Person,Harassment,203
28,28,Barking and Dagenham,Violence Against the Person,Murder,0
29,29,Barking and Dagenham,Violence Against the Person,Offensive Weapon,11
30,30,Barking and Dagenham,Violence Against the Person,Other Violence,36
31,31,Barking and Dagenham,Violence Against the Person,Wounding/GBH,72
32,32,Barnet,Burglary,Burglary - Business and Community,74
33,33,Barnet,Burglary,Burglary - Residential,204
34,34,Barnet,Criminal Damage,Arson,6
35,35,Barnet,Criminal Damage,Criminal Damage To M/V,58
36,36,Barnet,Criminal Damage,Criminal Damage To Other Bldg,15
37,37,Barnet,Criminal Damage,Criminal Damage To a Dwelling,35
38,38,Barnet,Criminal Damage,Other Criminal Damage,48
39,39,Barnet,Drugs,Drug Trafficking,5
40,40,Barnet,Drugs,Other Drug Offences,0
41,41,Barnet,Drugs,Possession Of Drugs,44
42,42,Barnet,Fraud or Forgery,Other Fraud & Forgery,5
43,43,Barnet,Other Notifiable Offences,Going Equipped,1
44,44,Barnet,Other Notifiable Offences,Other Notifiable,67
45,45,Barnet,Robbery,Business Property,2
46,46,Barnet,Robbery,Personal Property,45
47,47,Barnet,Sexual Offences,Other Sexual,27
48,48,Barnet,Sexual Offences,Rape,29
49,49,Barnet,Theft and Handling,Handling Stolen Goods,4
50,50,Barnet,Theft and Handling,M/V Interference & Tampering,41
51,51,Barnet,Theft and Handling,Other Theft,337
52,52,Barnet,Theft and Handling,Theft From M/V,222
53,53,Barnet,Theft and Handling,Theft From Shops,116
54,54,Barnet,Theft and Handling,Theft Person,54
55,55,Barnet,Theft and Handling,Theft/Taking of M/V,107
56,56,Barnet,Theft and Handling,Theft/Taking of Pedal Cycles,14
57,57,Barnet,Violence Against the Person,Assault with Injury,167
58,58,Barnet,Violence Against the Person,Common Assault,199
59,59,Barnet,Violence Against the Person,Harassment,334
60,60,Barnet,Violence Against the Person,Murder,0
61,61,Barnet,Violence Against the Person,Offensive Weapon,13
62,62,Barnet,Violence Against the Person,Other Violence,40
63,63,Barnet,Violence Against the Person,Wounding/GBH,47
