Year,Month,YearMonth,Prison,type,Incidents
2007,April,01/04/2007,Altcourse,assault,30
2007,April,01/04/2007,Altcourse,selfharm,18
2007,April,01/04/2007,Ashfield,assault,78
2007,April,01/04/2007,Ashfield,selfharm,10
2007,April,01/04/2007,Ashwell,assault,1
2007,April,01/04/2007,Ashwell,selfharm,1
2007,April,01/04/2007,Aylesbury,assault,6
2007,April,01/04/2007,Aylesbury,selfharm,20
2007,April,01/04/2007,Bedford,assault,6
2007,April,01/04/2007,Bedford,selfharm,13
2007,April,01/04/2007,Belmarsh,assault,4
2007,April,01/04/2007,Belmarsh,selfharm,3
2007,April,01/04/2007,Birmingham,assault,15
2007,April,01/04/2007,Birmingham,selfharm,55
2007,April,01/04/2007,Brinsford,assault,17
2007,April,01/04/2007,Brinsford,selfharm,7
2007,April,01/04/2007,Bristol,assault,5
2007,April,01/04/2007,Bristol,selfharm,9
2007,April,01/04/2007,Brixton,assault,17
2007,April,01/04/2007,Brixton,selfharm,5
2007,April,01/04/2007,Bronzefield,assault,8
2007,April,01/04/2007,Bronzefield,selfharm,142
2007,April,01/04/2007,Buckley Hall,assault,1
2007,April,01/04/2007,Buckley Hall,selfharm,1
2007,April,01/04/2007,Bullingdon,assault,7
2007,April,01/04/2007,Bullingdon,selfharm,8
2007,April,01/04/2007,Bullwood Hall,assault,1
2007,April,01/04/2007,Canterbury,assault,3
2007,April,01/04/2007,Canterbury,selfharm,1
2007,April,01/04/2007,Cardiff,assault,3
2007,April,01/04/2007,Channings Wood,assault,7
2007,April,01/04/2007,Channings Wood,selfharm,2
2007,April,01/04/2007,Chelmsford,assault,3
2007,April,01/04/2007,Chelmsford,selfharm,10
2007,April,01/04/2007,Coldingley,assault,2
2007,April,01/04/2007,Coldingley,selfharm,1
2007,April,01/04/2007,Cookham Wood,assault,3
2007,April,01/04/2007,Cookham Wood,selfharm,32
2007,April,01/04/2007,Dartmoor,assault,3
2007,April,01/04/2007,Dartmoor,selfharm,1
2007,April,01/04/2007,Deerbolt,assault,19
2007,April,01/04/2007,Deerbolt,selfharm,9
2007,April,01/04/2007,Doncaster,assault,15
2007,April,01/04/2007,Doncaster,selfharm,21
2007,April,01/04/2007,Dorchester,assault,1
2007,April,01/04/2007,Dorchester,selfharm,2
2007,April,01/04/2007,Dovegate,assault,4
2007,April,01/04/2007,Dovegate,selfharm,11
2007,April,01/04/2007,Dover,assault,10
2007,April,01/04/2007,Dover,selfharm,5
2007,April,01/04/2007,Downview,assault,2
2007,April,01/04/2007,Downview,selfharm,22
2007,April,01/04/2007,Drake Hall,selfharm,3
2007,April,01/04/2007,Durham,assault,17
2007,April,01/04/2007,Durham,selfharm,15
2007,April,01/04/2007,Eastwood Park,assault,1
2007,April,01/04/2007,Eastwood Park,selfharm,157
2007,April,01/04/2007,Edmunds Hill,assault,1
2007,April,01/04/2007,Edmunds Hill,selfharm,3
2007,April,01/04/2007,Erlestoke,assault,1
2007,April,01/04/2007,Erlestoke,selfharm,5
2007,April,01/04/2007,Escort Areas,assault,12
2007,April,01/04/2007,Escort Areas,selfharm,38
2007,April,01/04/2007,Everthorpe,assault,8
2007,April,01/04/2007,Everthorpe,selfharm,4
2007,April,01/04/2007,Exeter,assault,2
2007,April,01/04/2007,Exeter,selfharm,5
2007,April,01/04/2007,Featherstone,assault,5
2007,April,01/04/2007,Featherstone,selfharm,6
2007,April,01/04/2007,Feltham,assault,50
2007,April,01/04/2007,Feltham,selfharm,18
2007,April,01/04/2007,Ford,assault,4
2007,April,01/04/2007,Forest Bank,assault,22
2007,April,01/04/2007,Forest Bank,selfharm,30
2007,April,01/04/2007,Foston Hall,assault,2
2007,April,01/04/2007,Foston Hall,selfharm,105
2007,April,01/04/2007,Frankland,assault,6
2007,April,01/04/2007,Frankland,selfharm,16
2007,April,01/04/2007,Full Sutton,assault,7
2007,April,01/04/2007,Full Sutton,selfharm,10
2007,April,01/04/2007,Garth,assault,4
2007,April,01/04/2007,Garth,selfharm,2
2007,April,01/04/2007,Gartree,selfharm,7
2007,April,01/04/2007,Glen Parva,assault,37
2007,April,01/04/2007,Glen Parva,selfharm,31
2007,April,01/04/2007,Gloucester,assault,2
2007,April,01/04/2007,Gloucester,selfharm,6
2007,April,01/04/2007,Grendon/Spring Hill,selfharm,1
2007,April,01/04/2007,Guys Marsh,assault,8
2007,April,01/04/2007,Guys Marsh,selfharm,8
2007,April,01/04/2007,Haslar,assault,1
2007,April,01/04/2007,Haverigg,assault,8
2007,April,01/04/2007,Haverigg,selfharm,1
2007,April,01/04/2007,Hewell,assault,26
2007,April,01/04/2007,Hewell,selfharm,16
2007,April,01/04/2007,High Down,assault,21
2007,April,01/04/2007,High Down,selfharm,11
2007,April,01/04/2007,Highpoint,assault,8
2007,April,01/04/2007,Highpoint,selfharm,3
2007,April,01/04/2007,Hindley,assault,46
2007,April,01/04/2007,Hindley,selfharm,2
2007,April,01/04/2007,Hollesley Bay,assault,1
2007,April,01/04/2007,Holloway,assault,28
2007,April,01/04/2007,Holloway,selfharm,101
2007,April,01/04/2007,Holme House,assault,18
2007,April,01/04/2007,Holme House,selfharm,5
2007,April,01/04/2007,Hull,assault,16
2007,April,01/04/2007,Hull,selfharm,14
2007,April,01/04/2007,Huntercombe,assault,25
2007,April,01/04/2007,Huntercombe,selfharm,2
2007,April,01/04/2007,IOW: Albany,selfharm,3
2007,April,01/04/2007,IOW: Camp Hill,assault,9
2007,April,01/04/2007,IOW: Camp Hill,selfharm,3
2007,April,01/04/2007,IOW: Parkhurst,assault,1
2007,April,01/04/2007,IOW: Parkhurst,selfharm,6
2007,April,01/04/2007,Kingston,selfharm,2
2007,April,01/04/2007,Lancaster Castle,assault,1
2007,April,01/04/2007,Lancaster Castle,selfharm,1
2007,April,01/04/2007,Lancaster Farms,assault,28
2007,April,01/04/2007,Leeds,assault,10
2007,April,01/04/2007,Leeds,selfharm,10
2007,April,01/04/2007,Leicester,assault,2
2007,April,01/04/2007,Leicester,selfharm,25
2007,April,01/04/2007,Lewes,assault,4
2007,April,01/04/2007,Lewes,selfharm,3
2007,April,01/04/2007,Lincoln,assault,4
2007,April,01/04/2007,Lincoln,selfharm,4
2007,April,01/04/2007,Lindholme,assault,2
2007,April,01/04/2007,Lindholme,selfharm,7
2007,April,01/04/2007,Littlehey,assault,4
2007,April,01/04/2007,Littlehey,selfharm,8
2007,April,01/04/2007,Liverpool,assault,14
2007,April,01/04/2007,Liverpool,selfharm,5
2007,April,01/04/2007,Long Lartin,assault,2
2007,April,01/04/2007,Long Lartin,selfharm,3
2007,April,01/04/2007,Low Newton,assault,8
2007,April,01/04/2007,Low Newton,selfharm,54
2007,April,01/04/2007,Lowdham Grange,assault,7
2007,April,01/04/2007,Lowdham Grange,selfharm,1
2007,April,01/04/2007,Maidstone,selfharm,2
2007,April,01/04/2007,Manchester,assault,18
2007,April,01/04/2007,Manchester,selfharm,33
2007,April,01/04/2007,Moorland,assault,8
2007,April,01/04/2007,Moorland,selfharm,10
2007,April,01/04/2007,Morton Hall,assault,1
2007,April,01/04/2007,Morton Hall,selfharm,4
2007,April,01/04/2007,Mount,assault,6
2007,April,01/04/2007,Mount,selfharm,9
2007,April,01/04/2007,New Hall,assault,9
